tensor(0.1288, device='cuda:0')   50
tensor(0.2353, device='cuda:0')   50
tensor(0.0868, device='cuda:0')   50
tensor(0.2583, device='cuda:0')   50
tensor(0.1345, device='cuda:0')   50
tensor(0.2262, device='cuda:0')   50
tensor(0.1901, device='cuda:0')   50
tensor(0.1043, device='cuda:0')   50
tensor(0.1097, device='cuda:0')   50
tensor(0.1409, device='cuda:0')   50
tensor(0.3811, device='cuda:0')   50
tensor(0.1223, device='cuda:0')   50
tensor(0.1881, device='cuda:0')   50
